DateTime,rain,temperature_outside,pressure_outside,gw_mb,gw_sr,gw_sg,gw_west,gw_knee,gw_south,wind_x,winx_y,snow_load,humidity,glob_radiaton,strain_ew_uncorrected,strain_ns_uncorrected,strain_ew_corrected,strain_ns_corrected,tides_ew,tides_ns
2016-07-18,0.0,18.77975810185185,969.9202430555556,911.9238222016437,866.7275694444445,1124.3438773148148,905.2985069444444,1012.7680787037036,863.7933101851852,-0.24495718718490506,1.0745654002485616,4.795887037037037,79.85534722222222,2.4164344907407407,-1412.6422933971678,167.03004137155136,-1412.8809166666667,167.04004166666667,-1.9982313909577971,-5.074629964814706
2016-07-19,0.0,19.27975810185185,970.1391782407408,846.3971524482,675.9782523148149,987.8329861111112,906.0354166666667,1011.8994097222222,864.9454166666667,-0.41547437722311586,0.683012017208113,4.797726388888889,77.1312037037037,2.2374655092592595,-1406.0966613756975,165.63038056093558,-1406.3919583333334,165.75312499999998,-2.0751638380679824,-5.413108056149173
2016-07-20,0.0,20.394471064814816,966.2159027777778,737.1257321449242,367.20204861111114,805.2221527777779,906.7944675925926,1017.8054861111111,866.2083449074073,-0.656144427833399,0.49846912789735875,4.797679282407407,76.31956018518518,2.2605729166666664,-1396.8403308980596,165.4118362927012,-1397.1333750000001,165.60175,-2.2996946255826347,-5.901505193773853
2016-07-21,10.0,16.945766203703705,964.3516898148148,743.1134622062739,320.18525462962964,656.4073726851852,907.354699074074,1014.7615046296297,867.1377314814815,-0.042033569600884425,0.9066152383681129,4.797218402777777,99.31231481481481,0.4798887731481481,-1393.3712938929543,167.9604319381299,-1393.5912083333333,168.22879166666667,-2.6572079431228066,-6.472710691388911
2016-07-22,0.0,20.09382638888889,965.0936805555556,805.6038777636301,306.89554398148147,668.4434027777778,907.706087962963,1011.5352777777779,867.6939814814815,-0.1603472377219546,0.7359473696742077,4.795079861111111,88.25572916666667,2.121594791666667,-1392.5900678677149,167.81279775427151,-1392.6734999999999,168.06304166666666,-3.0922333951332757,-7.0247764363702965
2016-07-23,50.0,17.925694444444446,966.4026851851852,771.7288227804144,435.18981481481484,861.6478125,908.0176157407408,1014.2261342592593,867.7779976851853,0.26074454182779533,0.6141756086866714,4.799059837962963,97.13895833333333,0.8342096064814815,-1379.5777970339727,165.80027786542203,-1379.49,165.98658333333333,-3.516278310409662,-7.444761660890246
2016-07-24,0.0,19.986708333333333,967.3175462962962,1014.2508160666745,1123.3983912037036,1438.5565393518518,909.0640277777778,1020.4132175925926,868.2388541666667,0.24463881749490174,0.6463751349894161,4.797825115740741,91.18194444444444,1.982746412037037,-1380.4484935486005,146.69282390563373,-1380.1980833333334,146.788125,-3.8312790617778396,-7.641332741978997
2016-07-25,1.0,20.673827546296295,967.135,950.1256626924412,1075.5975925925925,1354.1430671296296,910.257037037037,1027.5501388888888,868.6303819444445,0.16261247367726472,0.795399655996809,4.801174884259259,87.10784722222223,1.5471834490740741,-1382.1305535547806,131.54225148852558,-1381.769875,131.559375,-3.959733276461154,-7.573681368104048
2016-07-26,3.0,19.604690936450975,968.3211945827063,900.6877647875912,976.5211424933442,1265.9260446810972,911.1326273148148,1024.3236226851852,869.3950231481482,-0.6044175804004092,0.3592398479081022,4.80000625,94.65026044681098,1.2943864583333333,-1379.3636792184782,126.77963710150047,-1378.9771666666666,126.68241666666667,-3.869106967556393,-7.265901857798031
2016-07-27,4.0,18.67677546296296,965.2885069444445,855.3501562680866,874.9719212962964,1145.9662152777778,911.9044328703703,1022.7582523148149,870.6611574074075,-0.7712524730127868,-0.31292091730640764,4.798315625,92.47934027777778,1.5646855324074074,-1375.721050785031,123.88855028715213,-1375.4010416666667,123.68491666666667,-3.582143656654427,-6.802321799814486
